id,before_word,word,after_word,apply_font_name
CNAA00000001,,一,,華康標楷W5注音
CNAA00000002,逐,一,,華康標楷W5注音
CNAA00000003,第,一,次,華康標楷W5注音
CNAA00000004,第,一,段,華康標楷W5注音
CNAA00000005,,一,年級,華康標楷W5注音
CNAA00000006,,一五,一十,華康標楷W6注音
CNAA00000007,,一,半,華康標楷W5破音一
CNAA00000008,,一,次,華康標楷W6破音一
CNAA00000009,,一,個人,華康標楷W5破音一
CNAA00000010,,一,下子,華康標楷W5破音一
CNAA00000011,每,一,天,華康標楷W5破音二
CNAA00000012,,一,邊,華康標楷W5破音二
CNAA00000013,,一,旁,華康標楷W5破音二
CNAA00000014,,一,起,華康標楷W5破音二
CNAA00000015,大吃,一,驚,華康標楷W5破音二
CNAA00000016,,上,,華康標楷W5注音
CNAA00000017,,上,學,華康標楷W5注音
CNAA00000018,,上,樓,華康標楷W5注音
CNAA00000019,,上,次,華康標楷W5注音
CNAA00000020,天,上,,華康標楷W5注音
CNAA00000021,地,上,,華康標楷W5注音
CNAA00000022,,上,聲,華康標楷W5破音一
CNAA00000023,,不,,華康標楷W5注音
CNAA00000024,,不,要,華康標楷W5注音
CNAA00000025,,不,會,華康標楷W5注音
CNAA00000026,,不,怕,華康標楷W5注音
CNAA00000027,,不,對,華康標楷W5注音
CNAA00000028,,不,夠,華康標楷W5注音
CNAA00000029,,不,好,華康標楷W5破音一
CNAA00000030,,不,可以,華康標楷W5破音一
CNAA00000031,,不,知道,華康標楷W5破音一
CNAA00000032,,不,能,華康標楷W5破音一
CNAA00000033,,不,關心,華康標楷W5破音一
CNAA00000034,,不知,不覺,華康標楷W5破音一
CNAA00000035,,中,,華康標楷W5注音
CNAA00000036,,中,間,華康標楷W5注音
CNAA00000037,,中,午,華康標楷W5注音
CNAA00000038,,中,國,華康標楷W5注音
CNAA00000039,空,中,,華康標楷W5注音
CNAA00000040,忙,中,有錯,華康標楷W5注音
CNAA00000041,,中,箭,華康標楷W5破音一
CNAA00000042,抽,中,,華康標楷W5破音一
CNAA00000043,,中,獎,華康標楷W5破音一
CNAA00000044,,乘,,華康標楷W5注音
CNAA00000045,,乘,客,華康標楷W5注音
CNAA00000046,,乘,車,華康標楷W5注音
CNAA00000047,,乘,機,華康標楷W5注音
CNAA00000048,萬,乘,之國,華康標楷W5破音一
CNAA00000049,,乾,,華康標楷W5注音
CNAA00000050,,乾,淨,華康標楷W5注音
CNAA00000051,魚,乾,,華康標楷W5注音
CNAA00000052,,乾,坤,華康標楷W5破音一
CNAA00000053,,了,,華康標楷W5注音
CNAA00000054,好,了,,華康標楷W5注音
CNAA00000055,學會,了,,華康標楷W5注音
CNAA00000056,下雨,了,,華康標楷W5注音
CNAA00000057,,了,解,華康標楷W5破音一
CNAA00000058,,了,不起,華康標楷W5破音一
CNAA00000059,沒完沒,了,,華康標楷W5破音一
CNAA00000060,,什,,華康標楷W5注音
CNAA00000061,,什,麼,華康標楷W5注音
CNAA00000062,,什,錦,華康標楷W5破音一
CNAA00000063,,仇,,華康標楷W5注音
CNAA00000064,報,仇,,華康標楷W5注音
CNAA00000065,,仇,敵,華康標楷W5注音
CNAA00000066,恩將,仇,報,華康標楷W5注音
