編號,字
1,一
2,上
3,不
4,中
5,乘
6,乾
7,了
8,什
9,仇
10,任
11,伺
12,伯
13,供
14,便
15,們
16,倔
17,倆
18,倒
19,個
20,假
21,傍
22,兒
23,公
24,冠
25,切
26,分
27,刨
28,削
29,創
30,劃
31,勒
32,勞
33,勝
34,勾
35,匙
36,匹
37,區
38,卒
39,占
40,卷
41,厭
42,參
43,叔
44,叨
45,只
46,句
47,吐
48,吃
49,否
50,吭
51,呀
52,呢
53,呵
54,呱
55,和
56,咳
57,哄
58,咽
59,咯
60,哈
61,哥
62,哪
63,哩
64,啞
65,啊
66,啦
67,喪
68,喔
69,嘔
70,嚼
71,嚇
72,囉
73,囤
74,圈
75,坊
76,埋
77,埤
78,塞
79,大
80,奇
81,奶
82,好
83,委
84,媽
85,姐
86,妹
87,姑
88,婆
89,娜
90,嬸
91,子
92,宿
93,將
94,少
95,屬
96,差
97,幾
98,度
99,弄
100,弟
101,強
102,彈
103,疆
104,彷
105,待
106,得
107,從
108,悶
109,惡
110,應
111,扁
112,扇
113,扎
114,扒
115,扛
116,抹
117,拓
118,拗
119,挑
120,掃
121,掙
122,撇
123,撒
124,擔
125,教
126,散
127,數
128,文
129,旋
130,星
131,晃
132,暈
133,暴
134,曲
135,更
136,曾
137,會
138,朝
139,期
140,枕
141,校
142,樂
143,橫
144,比
145,泥
146,法
147,沮
148,泡
149,渾
150,漲
151,漂
152,澎
153,炮
154,炸
155,為
156,煞
157,燥
158,爪
159,父
160,爸
161,爺
162,率
163,甚
164,畜
165,當
166,的
167,盛
168,監
169,省
170,看
171,相
172,矇
173,磨
174,禁
175,禪
176,種
177,稱
178,空
179,答
180,簸
181,紅
182,累
183,結
184,給
185,繃
186,縫
187,署
188,罷
189,翹
190,聽
191,背
192,膀
193,臭
194,舅
195,與
196,興
197,茄
198,荷
199,華
200,菲
201,著
202,落
203,葛
204,薄
205,藏
206,處
207,號
208,蚵
209,蛤
210,行
211,衝
212,要
213,親
214,覺
215,觀
216,角
217,解
218,說
219,調
220,論
221,識
222,讀
223,賈
224,質
225,軋
226,載
227,轉
228,轍
229,逮
230,遺
231,還
232,那
233,都
234,重
235,量
236,釘
237,鋪
238,鑽
239,長
240,間
241,闕
242,阿
243,降
244,陸
245,難
246,露
247,靦
248,頭
249,養
250,骨
251,鮮
252,鵠
253,麗
254,麼
255,龜
